canvas,холст
very,очень
did,сделал
sleep,спать
see,видеть
fresh,в свежем виде
had,имел
prop,двигательный
cover,обложка
wake,бодрствование
out,вне
only,только
games,игры
mother,мама
seeking,Ищу
face,лицо
down,вниз
which,который
not,не
this,это
her,ее
light,легкий
their,их
them,их
bed,постель
bedroom,Спальня
too,слишком
rough,грубый
other,Другие
reaping,жатвы
myself,себя
course,курс
cheeks,щеки
was,был
cocooned,кокон
have,иметь
tributes,дани
and,а также
younger,моложе
side,боковая сторона
bad,Плохо
curled,скручена
she,она
stretch,протяжение
climbed,залез
pressed,нажимается
mattress,матрас
named,по имени
together,вместе
day,день
but,но
1by,1by
raindrop,капля дождя
їthe,їthe
enough,достаточно
dreams,сны
part,часть
must,должен
sister,сестра
little,немного
primrose,примулы
beaten,избили
worn,изношены
cold,холодно
hunger,голод
warmth,тепло
theres,Theres
beautiful,красивая
finding,Диагностика
one,один
mothers,матерей
our,наш
with,с
for,для
collins,Коллинс
prims,примы
still,все еще
lovely,симпатичный
fingers,пальцы
looks,выглядит
when,когда
once,один раз
body,корпус
prim,чопорная
elbow,локоть
suzanne,Suzanne
